	0
10fthf5glu[c]	1.007168141122357
10fthf5glu[l]	1.0020673746383297
10fthf5glu[m]	1.0095824323473455
10fthf6glu[c]	1.0026077938086098
10fthf6glu[l]	1.0017732234806935
10fthf6glu[m]	1.0070394202439095
10fthf7glu[c]	1.0035341478847448
10fthf7glu[l]	1.0022231859877995
10fthf7glu[m]	1.0066152991003088
10fthf[c]	1.0398400398030645
10fthf[l]	1.0050928376368924
10fthf[m]	1.0270790898811128
11docrtsl[c]	1.0936143619622722
11docrtsl[m]	1.2040602064236754
11docrtsl[r]	1.1753061297011285
11docrtstrn[c]	1.0154455461999796
11docrtstrn[m]	1.042515712015916
11docrtstrn[r]	1.0352621128799657
13dampp[c]	0.9915894541375049
h2o[c]	1.011757783309264
o2[c]	0.955919871550546
bamppald[c]	1.000788105236625
h2o2[c]	1.0170423796396713
nh4[c]	1.0018882349948546
h2o[m]	0.9852933182668333
o2[m]	0.9805629546776362
2425dhvitd2[m]	1.0005625335387829
h[m]	1.003909686743754
nadph[m]	1.0305261061367323
1a2425thvitd2[m]	1.0084170481816437
nadp[m]	1.0194404445173704
2425dhvitd3[m]	1.0010545745630355
1a2425thvitd3[m]	1.0327007334473843
1a25dhvitd2[m]	0.9999347366317509
1a25dhvitd3[m]	1.0005384436149587
h[c]	0.9985217387798502
1mncam[c]	1.1315728275906052
1mncam[e]	1.0359144501610598
atp[c]	0.9900106265563604
adp[c]	0.9885838516835247
pi[c]	0.9891795635134571
h[x]	1.00082481159469
1pipdn2c[x]	1.0022061128412227
nadh[x]	0.9818486896600453
Lpipecol[x]	1.0257363670533517
nad[x]	0.9584439345080857
2425dhvitd2[c]	0.9996047852614772
2425dhvitd2[e]	0.9994451838667069
2425dhvitd3[c]	1.0002571868550294
2425dhvitd3[e]	0.9995186679835558
25hvitd2[m]	0.9775814751016384
25hvitd3[m]	0.9451293021319623
24nph[e]	0.9994833851609416
24nph[c]	0.9995370054775172
25hvitd2[c]	0.99579001789491
25hvitd2[e]	0.9972619779533468
25hvitd3[c]	1.0030382122899175
25hvitd3[e]	0.9999684382885863
2amac[c]	0.8764174705117188
pyr[c]	0.9045205228955874
nadph[c]	1.0009203561530107
nadp[c]	1.0006346376743713
paps[c]	0.9870339448366838
Lcyst[c]	0.9285815555519918
pap[c]	0.9912322553437536
L2aadp[c]	1.0042842361977575
L2aadp[m]	1.0111955918343802
akg[m]	1.0195864486520423
akg[c]	0.95059156616359
2dr1p[c]	0.9904644231703619
drib[c]	0.9949979439762107
nadh[c]	0.9985073933133776
nad[c]	0.9947495066249258
2hb[c]	0.837139590395119
2obut[c]	1.0022124889652781
h[e]	1.002895267942892
2hb[e]	0.6722302608546101
hco3[e]	0.9993918880342659
hco3[c]	0.9966704261330573
na1[e]	1.0172959443053848
